"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"1","JC",19,-1405.89499619611,2849.78999239221,1.4201169171251e-23,2850.69046632586,1.97323926438694e-23,2940.25987499949
"2","JC+I",20,-1405.33269670011,2850.66539340023,9.16712571924248e-24,2851.66183468137,1.21408694812704e-23,2945.89684877631
"3","JC+G(4)",20,-1405.3338187951,2850.66763759021,9.15684510237845e-24,2851.66407887135,1.21272539128408e-23,2945.89909296629
"4","JC+G(4)+I",21,-1405.33676665536,2852.67353331073,3.35869947475497e-24,2853.77092048412,4.22929157587094e-24,2952.66656145561
"5","F81",22,-1376.61359654633,2797.22719309266,3.68290863917767e-12,2798.43052246246,4.39827490844194e-12,2901.98179400635
"6","F81+I",23,-1376.06396323759,2798.12792647519,2.34746527534426e-12,2799.44221218947,2.65214178489052e-12,2907.64410015768
"7","F81+G(4)",23,-1376.06500157444,2798.13000314889,2.34502908065395e-12,2799.44428886318,2.64938939753801e-12,2907.64617683138
"8","F81+G(4)+I",24,-1376.06734073791,2800.13468147583,8.60672377835252e-13,2801.5649556117,9.17590398584454e-13,2914.41242792713
"9","K80",20,-1381.603642925,2803.20728585001,1.8519544583338e-13,2804.20372713114,2.45271397518758e-13,2898.43874122609
"10","K80+I",21,-1380.83994102667,2803.67988205334,1.46220189039994e-13,2804.77726922674,1.84121210717794e-13,2903.67291019822
"11","K80+G(4)",21,-1380.85554472312,2803.71108944624,1.4395632187601e-13,2804.80847661964,1.81270537593422e-13,2903.70411759113
"12","K80+G(4)+I",22,-1380.84665156946,2805.69330313893,5.34316403768128e-14,2806.89663250872,6.38101745686261e-14,2910.44790405261
"13","HKY",23,-1352.27578072589,2750.55156145178,0.0503124627378322,2751.86584716606,0.0568424956608498,2860.06773513427
"14","HKY+I",24,-1351.38544988392,2750.77089976784,0.0450865356022217,2752.20117390372,0.0480682002112003,2865.04864621914
"15","HKY+G(4)",24,-1351.43580160211,2750.87160320421,0.0428725576033817,2752.30187734009,0.045707807329158,2865.14934965551
"16","HKY+G(4)+I",25,-1351.39856104569,2752.79712209138,0.0163703618362692,2754.34843474055,0.0164280529918418,2871.83644131149
"17","TrNe",21,-1381.53397982001,2805.06795964001,7.30449376773048e-14,2806.16534681341,9.19785595289619e-14,2905.0609877849
"18","TrNe+I",22,-1380.78703955174,2805.57407910348,5.67136603298934e-14,2806.77740847327,6.77296923799242e-14,2910.32868001716
"19","TrNe+G(4)",22,-1380.79910504666,2805.59821009331,5.60334934756334e-14,2806.80153946311,6.69174102676767e-14,2910.352811007
"20","TrNe+G(4)+I",23,-1380.79099486148,2807.58198972295,2.07814299050484e-14,2808.89627543724,2.34786427641062e-14,2917.09816340545
"21","TrN",24,-1351.30631945786,2750.61263891571,0.0487992079695034,2752.04291305159,0.0520263991787053,2864.89038536701
"22","TrN+I",25,-1350.55872889993,2751.11745779985,0.0379134010964119,2752.66877044902,0.0380470125549012,2870.15677701996
"23","TrN+G(4)",25,-1350.57004002946,2751.14008005892,0.0374869739384762,2752.69139270808,0.0376190826155514,2870.17939927902
"24","TrN+G(4)+I",26,-1350.55797480605,2753.11594961211,0.0139580825451077,2754.79336896695,0.0131513354499071,2876.91684160101
"25","TPM1",21,-1380.22289758061,2802.44579516121,2.7101036727451e-13,2803.54318233461,3.41257642103092e-13,2902.4388233061
"26","TPM1+I",22,-1379.47677103602,2802.95354207204,2.10247124116653e-13,2804.15687144184,2.51085416764731e-13,2907.70814298573
"27","TPM1+G(4)",22,-1379.50628191903,2803.01256383806,2.04133203144095e-13,2804.21589320786,2.43783930944598e-13,2907.76716475175
"28","TPM1+G(4)+I",23,-1379.48392975907,2804.96785951813,7.67938759940849e-14,2806.28214523242,8.67609201664313e-14,2914.48403320063
"29","K81",21,-1380.22289758061,2802.44579516121,2.7101036727451e-13,2803.54318233461,3.41257642103092e-13,2902.4388233061
"30","K81+I",22,-1379.47677103602,2802.95354207204,2.10247124116653e-13,2804.15687144184,2.51085416764731e-13,2907.70814298573
"31","K81+G(4)",22,-1379.50628191903,2803.01256383806,2.04133203144095e-13,2804.21589320786,2.43783930944598e-13,2907.76716475175
"32","K81+G(4)+I",23,-1379.48392975907,2804.96785951813,7.67938759940849e-14,2806.28214523242,8.67609201664313e-14,2914.48403320063
